strategy,symbol,trades,win_rate,total_return_pct,max_drawdown_pct,sharpe,profit_factor
Jurik_Breakouts,BTC/USD,116,32.758620689655174,-34.55558651324214,52.70950448128329,-1.221185299549666,0.792466884173576
LuxAlgo_MSB_OB,BTC/USD,481,31.600831600831604,-57.77600548310787,59.20687471360097,-2.6381837048201344,0.7957448306929611
BackQuant_VolSkew,BTC/USD,300,50.66666666666667,-15.3198032509944,33.51209382219089,-0.3588013838022026,1.0307786283294906
REH_REL_Breakout,BTC/USD,3,66.66666666666666,-11.00920169992391,35.78470093746973,-0.251962363863479,0.46741885290810203
DAFE_Bands_SmartComposite,BTC/USD,243,55.144032921810705,-45.603891386551965,47.688314169538415,-1.8481472933265748,0.7775997590255674
PrimeUltimate_Sniper,BTC/USD,811,24.907521578298397,-66.87613128563436,69.86851382055981,-3.446493219280239,0.8072521597608298
Extreme_HMA_ATR,BTC/USD,813,30.50430504305043,-54.289954887685596,59.985692315657516,-2.354797918952566,0.92140190671281
GK_Trend_Ribbon,BTC/USD,536,40.298507462686565,-46.98089262361336,50.99024236281296,-1.9133856650672245,0.9043453919240104
KTY_ABCD,BTC/USD,468,51.06837606837607,-47.794655400755246,48.426581477610085,-1.9785951770175083,0.8444391515098796
Gaussian_MA,BTC/USD,3294,27.625986642380084,-99.14910547884269,99.17581836649947,-14.426148999622788,0.6478491143434459
SmartSafeZone,BTC/USD,4104,21.686159844054583,-99.48760082182909,99.50024981133636,-17.899541534014844,0.6247551924854451
BOSWaves_Standalone,BTC/USD,2284,30.253940455341503,-94.88297448156769,95.07371424724074,-13.451148112480784,0.6210419444481459
Jurik_Breakouts,ETH/USD,111,44.14414414414414,104.69061437901304,29.72766362975322,1.748953186833968,1.6089802934877278
LuxAlgo_MSB_OB,ETH/USD,447,35.123042505592835,61.933719167447634,27.73161831629055,1.2799900919623246,1.2615523876702022
BackQuant_VolSkew,ETH/USD,319,48.90282131661442,-52.794311970177624,71.51233307519398,-1.1525159048369633,0.9041881876421789
REH_REL_Breakout,ETH/USD,13,38.46153846153847,135.49845601210868,30.557595808143045,2.029069566217246,4.615913990821958
DAFE_Bands_SmartComposite,ETH/USD,252,54.36507936507936,-74.53395143647599,76.78991214814077,-2.380333571693721,0.7232182501599219
PrimeUltimate_Sniper,ETH/USD,797,22.835633626097867,-63.92668822111065,77.93932228779806,-1.6688573024648705,0.9300637193982784
Extreme_HMA_ATR,ETH/USD,752,32.84574468085106,-4.687506663285945,54.166519304108164,0.24294722831275772,1.121300317976441
GK_Trend_Ribbon,ETH/USD,527,41.555977229601524,-41.637174219106655,53.077982948188954,-0.7294649321490191,0.9876878703954821
KTY_ABCD,ETH/USD,497,55.93561368209256,-6.4104492619385,46.9767167829682,0.20128146783930287,1.1186975488361182
Gaussian_MA,ETH/USD,3036,30.79710144927536,-96.83994164523465,97.32896250871764,-6.183965050911586,0.8677174984820717
SmartSafeZone,ETH/USD,4131,22.125393367223435,-99.28182365746981,99.38617010415634,-10.275475156454618,0.783902885351863
BOSWaves_Standalone,ETH/USD,2284,33.93169877408056,-93.23918185054495,94.38920662238311,-7.006264046174964,0.8084106701776134
