strategy,variant,symbols,avg_trades,avg_win_rate,avg_return_pct,avg_max_dd_pct,avg_sharpe,avg_profit_factor,score
REH_REL_Breakout,slow,2,1.0,50.0,-0.9396802670597459,48.464703502684664,-0.12777475567432428,49.5,92.45375007458621
Jurik_Breakouts,fast,2,39.0,42.02020202020202,59.276266754261016,39.651376914761116,0.781953483531985,1.8558257526836215,47.944539822433256
BackQuant_VolSkew,base,2,39.0,44.40631434454358,42.497906221525135,37.035969189314386,0.6629499734323969,1.60143454389379,30.90941080199495
DAFE_Bands_SmartComposite,base,2,13.0,60.130718954248366,38.832134153249136,39.32740949193145,0.679883150771113,1.9366635609407992,26.8761788681534
GK_Trend_Ribbon,base,2,100.5,48.58630952380953,35.97375236744108,32.46085760829529,0.6175639320825048,1.303733791822643,25.93221160284556
GK_Trend_Ribbon,slow,2,67.5,47.197802197802204,35.24250202616722,37.68838276189881,0.5925158788921516,1.3355215498704667,21.89343503262562
REH_REL_Breakout,fast,2,4.0,35.714285714285715,34.08194169603485,38.97936380120587,0.426987152858588,2.1582392881091854,20.359793164170178
REH_REL_Breakout,base,2,2.0,33.33333333333333,28.441672444409846,41.41296978545411,0.2506877134904286,2.5875220872238742,12.569572926101355
BackQuant_VolSkew,slow,2,30.0,55.71428571428571,20.234646670853863,35.14173033276349,0.7969738571880989,1.5583081700778934,11.015117468271495
Jurik_Breakouts,base,2,28.0,41.07142857142857,9.16931924103387,38.355682710705324,0.18887504762794566,1.2319064771828718,-8.875573716152687
BackQuant_VolSkew,fast,2,67.5,34.37921727395412,11.45680052768977,44.756158359839056,0.16852475530962213,1.217941665808662,-10.666792770595787
KTY_ABCD,slow,2,53.0,40.56267806267806,10.127634015993827,47.16008515795832,0.16922116868990744,1.181476531509492,-13.52251406310836
DAFE_Bands_SmartComposite,slow,2,9.0,51.298701298701296,4.675540552718655,45.570822566446765,0.18438344544239904,1.3061934669003104,-17.55763486547464
Extreme_HMA_ATR,slow,2,106.0,39.61726746773476,0.044447924145824214,42.39681601511065,0.22664074302626486,1.1274510556188109,-20.30860661561089
PrimeUltimate_Sniper,slow,2,243.0,30.878533231474407,3.6834134022070586,59.90773909651068,-0.507046099023703,1.0352678152119164,-34.74352150790659
DAFE_Bands_SmartComposite,fast,2,39.0,46.06060606060606,-7.192822795626274,52.04758964614473,-0.003221887000658036,1.051387819795938,-35.82512590382984
Jurik_Breakouts,slow,2,22.0,45.299145299145295,-16.692271597697776,43.68000991794817,-0.1354946226322256,1.0286814507254052,-41.683520147975415
LuxAlgo_MSB_OB,base,2,133.0,36.11000284981476,-18.28899507743214,47.64050094343847,-0.5988615171028137,0.9380761132478531,-50.51672053140373
PrimeUltimate_Sniper,base,2,288.0,31.7442014899243,-13.690582160976362,61.82171956472983,-0.7095061793998321,0.9901108550078479,-55.40339855629296
LuxAlgo_MSB_OB,slow,2,90.0,36.158785035189524,-21.93815986208583,49.07570691845763,-0.7267908775591697,0.9004645604388086,-56.40033138765508
KTY_ABCD,fast,2,81.5,39.353669586227724,-27.31545252114739,44.47686036715974,-0.716201082588448,0.8354112989093261,-59.0750513200544
Gaussian_MA,base,2,287.0,33.97314491064491,-22.05132781856694,59.390890539323394,-0.49366388685847284,0.9984540405351224,-60.126365909407895
GK_Trend_Ribbon,fast,2,122.0,41.8416581719334,-33.73969320303873,48.92725898713205,-0.7460508514983974,0.8763202161812935,-68.36575656984871
PrimeUltimate_Sniper,fast,2,313.5,32.37673226023077,-23.258025704100092,64.7394734199048,-0.8636535635802323,0.9482261305169817,-68.36768006555285
Extreme_HMA_ATR,base,2,182.0,36.37931034482759,-26.701734520079846,56.41786162736521,-1.0221038930894293,0.8901514277969528,-68.54811185790089
Extreme_HMA_ATR,fast,2,205.5,36.51359416445624,-31.150616748280555,56.879265324852966,-0.7498358474715608,0.9230193128746585,-70.4689861357213
LuxAlgo_MSB_OB,fast,2,183.0,37.44470857280414,-28.653928538055084,57.35184866973424,-1.0465951432212615,0.8924948687588006,-71.29975200021124
Gaussian_MA,fast,2,402.5,35.02771502290039,-31.200189818251076,59.64918747484951,-1.1595290337548119,0.9385037073581863,-76.23873337231345
KTY_ABCD,base,2,59.5,40.361786319954774,-40.45995657668824,51.40022720000814,-1.030970461461651,0.7224411589292876,-79.80369461398641
Gaussian_MA,slow,2,229.0,30.77883936914774,-38.345936363497216,57.66398194754798,-0.9364573299934409,0.8981331534896471,-80.06356594823629
SmartSafeZone,slow,2,798.0,40.160312863838556,-72.07144471146594,79.43146060418516,-3.2673516065449433,0.811654762253407,-150.37470023379296
SmartSafeZone,fast,2,1023.5,42.02677903050858,-76.23243094871933,82.91589792073603,-3.88333469846034,0.8109603613026599,-162.7879157825077
SmartSafeZone,base,2,959.5,41.43282229783462,-78.55182118289329,83.48775495958455,-3.9428434321744206,0.7896874886247314,-166.0986897588264
